State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies","1st Sort",FAQ,01/05/2024,10000,16000,14000
Bihar,"East Champaran/ Motihari",Chakia,Potato,Jyoti,FAQ,01/05/2024,2300,2500,2400
Bihar,Purnea,Bhawanipur,Wheat,"147 Average",FAQ,01/05/2024,2200,2500,2300
Bihar,Rohtas,Sasaram,Onion,Medium,FAQ,01/05/2024,2000,3000,2500
Chattisgarh,Durg,Durg,Apple,Apple,Medium,01/05/2024,16000,20000,16000
Chattisgarh,Durg,Durg,Garlic,Average,FAQ,01/05/2024,10000,11000,11000
Chattisgarh,Durg,Durg,Guar,Gwar,FAQ,01/05/2024,3800,4200,4200
Chattisgarh,Durg,Durg,"Water Melon","Water Melon",Medium,01/05/2024,1000,1100,1100
Chattisgarh,Koria,Manendragarh,"Mahua Seed(Hippe seed)",Other,FAQ,01/05/2024,3000,3000,3000
Chattisgarh,Raigarh,Sarangarh,Paddy(Dhan)(Common),"Paddy Coarse",FAQ,01/05/2024,1800,1900,1850
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,FAQ,01/05/2024,1400,2200,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,01/05/2024,600,1000,800
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana)",Potato,Desi,FAQ,01/05/2024,1200,2000,1800
Gujarat,Ahmedabad,Bavla,"Castor Seed","Castor seed",FAQ,01/05/2024,5400,5505,5435
Gujarat,Ahmedabad,Bavla,Wheat,Deshi,FAQ,01/05/2024,2530,2850,2555
Gujarat,Ahmedabad,Mandal,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,01/05/2024,10250,12305,10850
Gujarat,Ahmedabad,Mandal,"Isabgul (Psyllium)",Other,FAQ,01/05/2024,10505,13055,11500
Gujarat,Ahmedabad,Sanad,Wheat,Sharbati,FAQ,01/05/2024,2255,2980,2617
Gujarat,Amreli,Amreli,"Arhar (Tur/Red Gram)(Whole)",Hybrid,FAQ,01/05/2024,7150,11575,9900
Gujarat,Amreli,Amreli,"Castor Seed","Castor seed",FAQ,01/05/2024,5075,5245,5180
Gujarat,Amreli,Amreli,Jowar(Sorghum),"Jowar ( White)",FAQ,01/05/2024,1500,4160,3090
Gujarat,Amreli,Amreli,Wheat,"Rajasthan Tukdi",FAQ,01/05/2024,2015,3340,2645
Gujarat,Amreli,Babra,Cotton,Other,FAQ,01/05/2024,6470,7580,7025
Gujarat,Amreli,Babra,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,01/05/2024,10550,13000,11775
Gujarat,Amreli,Bagasara,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",FAQ,01/05/2024,5050,8500,6775
Gujarat,Amreli,Bagasara,Groundnut,Balli/Habbu,FAQ,01/05/2024,4950,5450,5200
Gujarat,Amreli,Dhari,"Bengal Gram(Gram)(Whole)","White (Whole)",FAQ,01/05/2024,7655,7655,7655
Gujarat,Amreli,Dhari,"Corriander seed","Coriander Seed",FAQ,01/05/2024,5500,6390,6200
Gujarat,Amreli,Khambha,"Castor Seed",Other,FAQ,01/05/2024,4900,5250,5150
Gujarat,Amreli,Savarkundla,"Arhar (Tur/Red Gram)(Whole)","Small (Whole)",FAQ,01/05/2024,9000,11075,10038
Gujarat,Amreli,Savarkundla,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,01/05/2024,2150,2620,2385
Gujarat,Anand,"Khambhat(Grain Market)","Bajra(Pearl Millet/Cumbu)",Other,FAQ,01/05/2024,2000,2250,2125
Gujarat,Banaskanth,Amirgadh,"Castor Seed","Castor seed",FAQ,01/05/2024,5360,5500,5425
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Banana,Other,Medium,01/05/2024,2000,3200,2600
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Chikoos(Sapota),Other,Medium,01/05/2024,3000,4200,3600
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Mango,Other,Medium,01/05/2024,5000,20150,12575
Gujarat,Banaskanth,Dhanera,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,01/05/2024,2805,2805,2805
Gujarat,Banaskanth,Palanpur,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,01/05/2024,2030,2300,2165
Gujarat,Banaskanth,Palanpur,"Castor Seed","Castor seed",FAQ,01/05/2024,5200,5515,5357
Gujarat,Banaskanth,Palanpur,Soanf,Other,FAQ,01/05/2024,4000,25000,14500
Gujarat,Banaskanth,Thara,Wheat,Other,FAQ,01/05/2024,2200,3125,2662.5
Gujarat,Banaskanth,Vadgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,01/05/2024,1900,2280,2090
Gujarat,Banaskanth,Vadgam,"Castor Seed",Other,FAQ,01/05/2024,5400,5505,5475
Gujarat,Banaskanth,Vadgam,Wheat,"Lokwan Gujrat",FAQ,01/05/2024,2410,2825,2825
Gujarat,Bharuch,Bharuch,"Banana - Green",Other,FAQ,01/05/2024,600,850,750
Gujarat,Bharuch,Bharuch,Brinjal,Other,FAQ,01/05/2024,800,1400,1100
Gujarat,Bharuch,Bharuch,Onion,Other,FAQ,01/05/2024,1300,2000,1500
Gujarat,Bharuch,Jambusar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,01/05/2024,2000,2400,2200
Gujarat,Bharuch,Jambusar,Maize,Other,FAQ,01/05/2024,1800,2200,2000
Gujarat,Bharuch,Jambusar,Wheat,Other,FAQ,01/05/2024,2600,3000,2800
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,01/05/2024,3100,3500,3300
Gujarat,Bhavnagar,"Mahuva(Station Road)","Cummin Seed(Jeera)",Other,FAQ,01/05/2024,23000,23000,23000
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,FAQ,01/05/2024,6125,6525,6325
Gujarat,Bhavnagar,"Mahuva(Station Road)",Jowar(Sorghum),Other,FAQ,01/05/2024,2060,4570,3315
Gujarat,Bhavnagar,"Mahuva(Station Road)",Onion,Red,FAQ,01/05/2024,580,1365,975
Gujarat,Bhavnagar,Taleja,"Black Gram (Urd Beans)(Whole)",Local,FAQ,01/05/2024,8525,9000,8765
Gujarat,Bhavnagar,Taleja,"Corriander seed",Other,FAQ,01/05/2024,5060,7140,6100
Gujarat,Bhavnagar,Taleja,"Green Gram (Moong)(Whole)",Local,FAQ,01/05/2024,8005,8875,8440
Gujarat,Bhavnagar,Taleja,Groundnut,Bold,FAQ,01/05/2024,6250,7030,6640
Gujarat,Bhavnagar,Taleja,Wheat,Kalyan,FAQ,01/05/2024,1950,2850,2400
Gujarat,Dahod,Dahod,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,01/05/2024,2000,2250,2100
Gujarat,Dahod,Dahod,"Castor Seed",Other,FAQ,01/05/2024,5100,5200,5150
Gujarat,Dahod,Dahod,Maize,"White (SAFED)",FAQ,01/05/2024,2100,2600,2300
Gujarat,Dahod,Dahod,Rice,Coarse,FAQ,01/05/2024,5000,6000,5500
Gujarat,Dahod,"Dahod(Veg. Market)","Bitter gourd","Bitter Gourd",FAQ,01/05/2024,1800,2500,2000
Gujarat,Dahod,"Dahod(Veg. Market)",Lemon,Other,FAQ,01/05/2024,9000,12000,11000
Gujarat,Dahod,"Dahod(Veg. Market)","Little gourd (Kundru)",Other,FAQ,01/05/2024,3000,3500,3250
Gujarat,Gandhinagar,Dehgam,Guar,Other,FAQ,01/05/2024,5000,5325,5162
Gujarat,Gandhinagar,Dehgam(Rekhiyal),"Bajra(Pearl Millet/Cumbu)",Other,FAQ,01/05/2024,2350,2450,2400
Gujarat,Gandhinagar,Dehgam(Rekhiyal),"Castor Seed",Other,FAQ,01/05/2024,5200,5425,5312
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,01/05/2024,4400,5225,4812
Gujarat,Gandhinagar,Kalol,Mustard,Other,FAQ,01/05/2024,4300,4655,4500
Gujarat,Gandhinagar,Kalol,Paddy(Dhan)(Common),Other,FAQ,01/05/2024,2200,2250,2200
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Cabbage,Cabbage,FAQ,01/05/2024,800,1200,1000
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Lemon,Other,FAQ,01/05/2024,6250,7500,7000
Gujarat,Gandhinagar,Mansa,"Castor Seed","Castor seed",FAQ,01/05/2024,5195,5530,5475
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Cabbage,Other,FAQ,01/05/2024,700,800,800
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Cucumbar(Kheera),Other,FAQ,01/05/2024,3500,3500,3500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Tomato,Other,FAQ,01/05/2024,1000,2000,2000
Gujarat,"Gir Somnath",Talalagir,Mango,Keshar,Medium,01/05/2024,7000,9500,8500
Gujarat,"Gir Somnath",Veraval,"Alasande Gram","Alasande Gram",FAQ,01/05/2024,12505,14505,14025
Gujarat,"Gir Somnath",Veraval,"Corriander seed","Coriander Seed",FAQ,01/05/2024,5725,6805,6655
Gujarat,Jamnagar,Dhrol,Mustard,Other,FAQ,01/05/2024,4700,5000,4850
Gujarat,Jamnagar,"Jam Jodhpur","Castor Seed","Castor seed",FAQ,01/05/2024,5050,5405,5305
Gujarat,Jamnagar,"Jam Jodhpur",Cotton,Bunny,FAQ,01/05/2024,6375,7455,6900
Gujarat,Jamnagar,"Jam Jodhpur","Green Gram (Moong)(Whole)","Green (Whole)",FAQ,01/05/2024,9000,9680,9350
Gujarat,Jamnagar,"Jam Jodhpur","Sesamum(Sesame,Gingelly,Til)",White,FAQ,01/05/2024,10500,11680,11050
Gujarat,Jamnagar,Jamnagar,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,01/05/2024,4000,10450,7225
Gujarat,Jamnagar,Jamnagar,"Methi Seeds",Other,FAQ,01/05/2024,4000,6000,5000
Gujarat,Junagarh,Bhesan,"Bengal Gram(Gram)(Whole)",Other,FAQ,01/05/2024,5000,5955,5805
Gujarat,Junagarh,Bhesan,Cotton,Other,FAQ,01/05/2024,6000,7480,7250
Gujarat,Junagarh,Bhesan,Groundnut,Other,FAQ,01/05/2024,4000,5900,5675
Gujarat,Junagarh,Junagadh,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,01/05/2024,19000,22420,21250
Gujarat,Junagarh,Junagadh,Jowar(Sorghum),"Jowar ( White)",FAQ,01/05/2024,3375,4000,3750
Gujarat,Junagarh,Junagadh,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,01/05/2024,6200,7885,7000
Gujarat,Junagarh,Mangrol,"Bengal Gram(Gram)(Whole)","Desi (F.A.Q. Split)",FAQ,01/05/2024,6000,6175,6100
Gujarat,Junagarh,Visavadar,Garlic,Other,FAQ,01/05/2024,7105,10505,8805
Gujarat,Junagarh,Visavadar,Soyabean,Black,FAQ,01/05/2024,4225,4505,4365
Gujarat,Kheda,Kapadvanj,Cabbage,Other,FAQ,01/05/2024,300,700,550
Gujarat,Kheda,Kapadvanj,Cauliflower,Other,FAQ,01/05/2024,1500,2000,1750
Gujarat,Kheda,Kapadvanj,Onion,Other,FAQ,01/05/2024,1500,2000,1750
Gujarat,Kheda,Nadiad,Potato,Other,FAQ,01/05/2024,1500,1700,1600
Gujarat,Kheda,Nadiyad(Chaklasi),Cauliflower,Cauliflower,FAQ,01/05/2024,1200,1550,1400
Gujarat,Kheda,Nadiyad(Piplag),"Bhindi(Ladies Finger)",Bhindi,FAQ,01/05/2024,1500,2000,1750
Gujarat,Mehsana,Kadi,Ajwan,Other,FAQ,01/05/2024,11000,13755,12000
Gujarat,Mehsana,Kadi,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,01/05/2024,9750,10510,10000
Gujarat,Mehsana,Kadi,"Moath Dal","Moath (W)",FAQ,01/05/2024,6400,7220,6800
Gujarat,Mehsana,Kadi,Paddy(Dhan)(Common),Paddy,FAQ,01/05/2024,2160,2400,2300
Gujarat,Mehsana,Kadi,"Suva (Dill Seed)","Suva (Dill Seed)",FAQ,01/05/2024,6000,8250,6500
Gujarat,Mehsana,Mehsana,"Castor Seed","Castor seed",FAQ,01/05/2024,5200,5480,5425
Gujarat,Mehsana,Mehsana,Mustard,Mustard,FAQ,01/05/2024,4000,5600,4950
Gujarat,Mehsana,Mehsana(Jornang),"Bajra(Pearl Millet/Cumbu)",Local,FAQ,01/05/2024,1755,2110,2000
Gujarat,Mehsana,Unjha,Ajwan,Ajwan,FAQ,01/05/2024,5500,16125,12300
